feature,importance_builtin,importance_perm_mean,importance_perm_std
takeoff_timing_offset,0.2089712187235773,0.07797275135280443,0.028093296015715356
avg_v_style_front,0.24988111256683118,0.047063024597499635,0.024728153786820875
takeoff_knee_angle,0.19778122896411418,0.04695475858574246,0.01660271303141791
landing_hip_velocity,0.08367885410827547,0.010367931432877776,0.005409034135822793
telemark_stability,0.04012352105383988,0.008160017308215205,0.006144741784844116
flight_mean_bsa,0.032252484421937545,0.004843887255834445,0.003940830788780716
landing_knee_compression,0.02816654341424746,0.0047494958253882944,0.0020561701751795835
flight_std,0.036572426869868876,0.004588371676168312,0.003235641275886038
flight_jitter,0.03841138600067396,0.004477606179722371,0.003389007599659966
takeoff_peak_velocity,0.013687074975108873,0.0020454019386692557,0.0028274836599108486
knee_peak_velocity,0.02434770362809151,0.0015727117936851,0.003355785982900473
knee_angle_at_takeoff,0.01633493366246071,0.0012145898903129337,0.0009561897475847487
avg_body_ski_angle,0.013622313486491932,0.0010446629423984887,0.0017187951425412162
explosive_efficiency,0.0074771559581339655,0.0004922204949394437,0.0008430753335907067
stability_ratio,0.008027486114636098,0.0002386374258852686,0.0010036816631155269
telemark_scissor_mean,0.0006645560517110643,-0.00014428835319414414,1.9500753223244962e-05
