feature,importance_builtin,importance_perm_mean,importance_perm_std
landing_knee_compression,0.24720543308953938,0.10038773062728676,0.01669019543286654
telemark_scissor_mean,0.17234201506020252,0.04938639416811298,0.022964257029156766
avg_body_ski_angle,0.14874486807592546,0.03710573168722867,0.021137820636860795
telemark_stability,0.049171308903453885,0.012523977993864122,0.003166112146233463
knee_peak_velocity,0.054905284144889085,0.01132052423544655,0.012957144265361206
stability_ratio,0.06619009668955082,0.008289908874561158,0.0035001179578957615
landing_hip_velocity,0.025954704887309825,0.0076418770245012535,0.005111059153263612
flight_jitter,0.06201582744644556,0.005689347770378083,0.004769977420435391
takeoff_timing_offset,0.022906423175747474,0.005374290802149251,0.0030064882061546405
knee_angle_at_takeoff,0.06947321088010418,0.005336568938696773,0.012882314848070073
flight_mean_bsa,0.0208128447585612,0.0023932677571730787,0.0009604669776454908
takeoff_knee_angle,0.023736878520352257,0.0018736804882945157,0.004138129686524628
explosive_efficiency,0.008962286054860397,0.000771618832678811,0.0010725417558970717
avg_v_style_front,0.008144359864160709,0.0007165207058441814,0.000424888829057005
takeoff_peak_velocity,0.0030670746208573936,0.0006571496210998617,0.0005027420494087094
flight_std,0.016367383828039907,0.0006423460153883065,0.001993438678081802
