feature,importance_builtin,importance_perm_mean,importance_perm_std
takeoff_knee_angle,0.2021604231408985,0.18228744814301587,0.04825434953004672
avg_v_style_front,0.16222185972724518,0.038768491251824036,0.030750620745595487
takeoff_timing_offset,0.11906812434882093,0.022517323956555136,0.019403813708383885
landing_hip_velocity,0.17029622782708165,0.022182480874776832,0.018169744978838113
telemark_stability,0.0781374895643328,0.012835115843000266,0.013136063394743517
landing_knee_compression,0.02543189367886105,0.008343923176829604,0.0061867216047677654
flight_std,0.04017679624729343,0.005533539493877892,0.005151420427365451
flight_jitter,0.07476666540291461,0.004252251592653555,0.010569361930267163
flight_mean_bsa,0.06256593998918067,0.0024885420681848404,0.0011984789050293178
avg_body_ski_angle,0.012980077014255091,0.0011629319239662705,0.002969545667683375
stability_ratio,0.019220368108619684,0.0010218173173882294,0.001648030835597326
knee_angle_at_takeoff,0.007456247096931377,0.000422660996263291,0.003053063217531458
takeoff_peak_velocity,0.006391930416937013,0.0002858436066191294,0.0016483254123758045
knee_peak_velocity,0.008486277304451468,0.00027446604919035834,0.0013072414956392794
telemark_scissor_mean,0.0012695009906621758,5.332271349021145e-05,2.625591654142523e-05
explosive_efficiency,0.009370179141514525,-2.64385114745469e-05,0.0018843099800035146
