takeoff_explosiveness,flight_mean_bsa,flight_stability_std,landing_telemark_quality,jump_id
1421.7401768669172,8.941360269224454,0.44574667492837905,0.04211629771105818,JP0005
3873.1133398266825,,,0.02102828859458497,JP0006
594.0670759120792,3.8063160213750007,1.832147029651224,0.008945270042715467,JP0007
290.62798209944674,,,0.02543091247186996,JP0008
1877.6722347218765,5.953837874599383,1.0711241041205102,0.03511702071269653,JP0009
3251.0446926968125,,,0.005151167568056047,JP0011
2137.2532063399362,5.263231712216899,1.1095197304096767,0.01997009869093913,JP0012
2243.694533663965,,,,JP0013
891.5483093261728,,,0.0436137080710287,JP0015
1361.919387774118,,,0.03607765515246223,JP0016
454.9813967467668,1.5898495958014933,1.0017775270600948,0.027819870142752525,JP0017
193.85750337491743,119.97671899971537,74.98525103601867,0.025541119805483365,JP0018
181.7006642715836,7.35915526065795,0.8767951133895135,0.01394391564198886,JP0019
,,,0.026459056223681145,JP0021
1508.5160024538673,,,0.03279547249400631,JP0022
1152.3901704911943,2.6034556179611914,1.2432142919742686,0.022745266063033964,JP0023
2906.278410727626,,,0.00858242376541607,JP0024
376.5592668743227,,,0.017892536395180555,JP0025
888.1725392222182,,,0.039969978857291755,JP0026
1998.4922642256897,,,0.02116002714894815,JP0028
74.01516577922365,15.108157158143946,2.2920049669634768,0.02432497550431464,JP0029
513.2440417392152,2.1618896471593056,1.698655961023813,0.008811625280991053,JP0030
1134.9750340419153,2.9998705052561143,0.7264956807948982,0.02480429984334162,JP0031
983.539360852516,,,0.0336290829414118,JP0032
1816.8846445166448,,,0.021390996254872827,JP0033
2317.2435706152187,2.1223593356964328,0.1803205464236673,0.02007551557220001,JP0034
718.4253136986049,0.6216834627324502,0.47227873365424206,0.023037355574990773,JP0035
113.58244209364074,,,0.04338786688804608,JP0036
435.6317858554891,,,0.023032234015266224,JP0037
1560.30830198928,,,0.028642607940517158,JP0038
,,,0.01932925654672763,JP0039
