jump_id,take_off_n_frames,take_off_duration_sec,take_off_hip_height_mean,take_off_hip_height_std,take_off_takeoff_knee_velocity_max,take_off_takeoff_knee_velocity_mean,take_off_takeoff_knee_angle_final,early_flight_n_frames,early_flight_duration_sec,early_flight_hip_height_mean,early_flight_hip_height_std,early_flight_early_vstyle_opening_rate,early_flight_early_vstyle_final,mid_flight_n_frames,mid_flight_duration_sec,mid_flight_hip_height_mean,mid_flight_hip_height_std,mid_flight_mid_bsa_mean,mid_flight_mid_bsa_std,mid_flight_mid_bsa_range,late_flight_n_frames,late_flight_duration_sec,late_flight_hip_height_mean,late_flight_hip_height_std,late_flight_late_bsa_std,late_flight_late_bsa_trend,landing_n_frames,landing_duration_sec,landing_hip_height_mean,landing_hip_height_std,landing_landing_scissor_mean,landing_landing_scissor_max,landing_landing_absorption
JP0005,16.0,0.5,0.5002735824550046,0.0002410212339825729,333.7144708623802,132.96481450548745,178.77621806992244,68.0,2.2333333333333334,0.4999573314846425,0.0005510088806410037,55.34473566362846,0.8379021902035722,10.0,0.3,0.4993787073684069,0.000316881161415258,8.941360269224454,0.44574667492837905,1.171963375185248,74.0,2.433333333333333,0.5003201628781352,0.0008594145963286657,9.984370232228535,6.259878986425176,6.0,0.16666666666666666,0.5003766010741832,0.0004182722308105039,0.04211629771105818,0.047312866547687404,0.0021247759176140635
JP0006,16.0,0.5,0.5024271816131025,0.0016671547183916243,614.0396090768457,259.75297273553264,179.91848355854486,83.0,2.7333333333333334,0.49992586381625076,0.001167656733067465,77.42667566946663,1.548856940046627,4.0,0.1,0.5007651480883673,0.0003199721723605086,2.5797995860554046,0.8051154717649838,2.0955772961028636,61.0,2.0,0.5020932496619863,0.0011570154029499882,12.142530587814688,16.11789930803952,4.0,0.1,0.5036645582197081,0.0018089080093341627,0.02102828859458497,0.024338514977144343,-0.0034748134688480925
JP0007,16.0,0.5,0.5017278904915878,0.0013372221714695455,302.0501006377981,76.61563137885956,171.82635013018802,7.0,0.2,0.5009196272255982,0.0009893712864533792,51.95084849059079,16.276978279545506,13.0,0.4,0.5016514564674407,0.0003603508150804663,3.8063160213750007,1.832147029651224,5.473634380723606,95.0,3.1333333333333333,0.4997501261151228,0.001932467739991247,7.477309520163709,-4.026240453277647,6.0,0.16666666666666666,0.5015420643424328,0.0003847492057205609,0.008945270042715467,0.014878496378914363,-0.00252113627511652
JP0008,16.0,0.5,0.5001544914109249,0.0014749502595029613,328.6865042147545,49.22802446973571,172.9006866738676,54.0,1.7666666666666666,0.5003207481651754,0.0015080028435815673,32.687916373000604,1.851154297795582,5.0,0.13333333333333333,0.4989754392449747,0.00014536982993771465,6.082181625131266,0.2867186028720387,0.8170514920024612,90.0,2.966666666666667,0.5021818279430911,0.0015601567562615547,6.847536116037785,2.8683506262211322,6.0,0.16666666666666666,0.5032844158535396,0.001588520090525407,0.02543091247186996,0.027427233026760756,0.017665713980319908
JP0009,16.0,0.5,0.5010903830375018,0.0016229296780214582,663.4606607119756,346.5822404101597,179.36176722526685,81.0,2.6666666666666665,0.49965000409309446,0.0007990500649040644,42.142200818483374,4.577603687729867,15.0,0.4666666666666667,0.5005721026046175,0.00041021669564559384,5.953837874599383,1.07112410412051,3.4428594636554664,26.0,0.8333333333333334,0.5007930568540706,0.0009406771106902468,24.111699093170795,84.23703676113902,6.0,0.16666666666666666,0.5029084031412077,0.0006353769477280517,0.03511702071269653,0.0361644305260469,-0.008252891358544456
JP0011,16.0,0.5,0.5021061797550954,0.0023618418194166517,494.5886782924208,285.5332967973814,177.84416889578696,72.0,2.3666666666666667,0.4993900891909908,0.0005697173395332717,91.13568602718473,1.9847946240185825,4.0,0.1,0.4993028966649846,0.0005324467344049602,12.296729262831628,1.183970885457148,3.0815924555408287,111.0,3.6666666666666665,0.5001002517832301,0.0013068417235989481,46.234002337561435,30.134571075394977,5.0,0.13333333333333333,0.49937304386489706,0.0015151366782449633,0.005151167568056047,0.007508059380556209,-0.011369798779874651
JP0012,16.0,0.5,0.4998168819656429,0.00021506158099406816,643.7623662114229,207.34402549575333,168.93533056595945,113.0,3.7333333333333334,0.5009444278867591,0.0013674665340708424,43.03344175212878,2.8584477393282994,6.0,0.16666666666666666,0.5009402175478513,0.000589932391424174,5.263231712216899,1.1095197304096767,2.8404467694035374,98.0,3.2333333333333334,0.50170831645963,0.0014850248391081585,11.846517148403906,11.945620902396264,7.0,0.2,0.5033433625801386,0.0034618568641209425,0.01997009869093913,0.027099960056894856,0.0010028484751863273
JP0013,16.0,0.5,0.49988032143627115,0.00028415100937726124,852.3054919879843,237.10723025889854,175.93142120427981,,,,,,,,,,,,,,,,,,,,,,,,,,
JP0015,16.0,0.5,0.49924981786034717,0.00031309125321666523,587.5553101944886,75.71868788266528,177.89125359517382,105.0,3.466666666666667,0.5002345278841773,0.0010021412879194223,30.703993873259257,2.2105178488020276,5.0,0.13333333333333333,0.5001097100729283,0.00014823546624978372,3.586978466881355,0.4448967080288749,1.2118769214969571,32.0,1.0333333333333334,0.5001917010976946,0.0007699173194524242,13.078598627486326,32.039819246329166,8.0,0.23333333333333334,0.5013329024670627,0.00040342378683371865,0.0436137080710287,0.046005440282068544,0.004246015850170523
JP0016,16.0,0.5,0.4992340474956889,0.0003318937599475809,566.2540563352,94.39017105471339,176.90024752017018,71.0,2.3333333333333335,0.4997078324628228,0.0005968869354858528,41.96446898763091,4.317727154542467,5.0,0.13333333333333333,0.49989492832788257,0.0001500920142583534,2.055821370054505,1.0623028173609295,2.755444719532082,45.0,1.4666666666666666,0.5007776613510359,0.0004504681756090147,9.595869775301905,10.042855582829914,6.0,0.16666666666666666,0.5007465496880579,0.00038752702280668306,0.03607765515246223,0.038915265439122715,0.003586602374425485
JP0017,16.0,0.5,0.49975852491581574,0.000568557754157099,195.25361637135234,55.089386711909405,178.55635272022414,63.0,2.066666666666667,0.4991479345506295,0.0007397447775496727,51.35528063971984,6.118371248544266,6.0,0.16666666666666666,0.4997458492586618,0.00017508257119539208,1.5898495958014933,1.0017775270600948,2.8635827538856127,43.0,1.4,0.5005704691428765,0.0007737778419038632,10.679753634938077,13.322472025854003,7.0,0.2,0.5009096431005589,0.0004131439707542647,0.027819870142752525,0.028219348483649598,0.0015443275354782532
JP0018,16.0,0.5,0.5001417494937355,0.0003810606276163286,140.21442929558617,89.8488565061826,176.5290991146248,57.0,1.8666666666666667,0.49934757285209364,0.0009711039637510946,343.2119907570064,175.9254862080963,6.0,0.16666666666666666,0.5038677066485614,0.0019026108868141459,119.97671899971537,74.98525103601867,173.41258670377275,59.0,1.9333333333333333,0.5014331787359743,0.0015417956466630383,13.210683394351737,17.319726170613983,6.0,0.16666666666666666,0.5000675227065395,0.00045340401289699643,0.025541119805483365,0.029254909191092082,0.005787997863106187
JP0019,16.0,0.5,0.49975689851634275,0.00021960007618751411,152.511234832414,86.96495433130808,168.8036670628311,97.0,3.2,0.4994772999616372,0.000985426057713049,34.297485974563216,4.767468643068396,6.0,0.16666666666666666,0.4997657231710512,0.0002152475994130592,7.35915526065795,0.8767951133895137,2.4107019546624775,41.0,1.3333333333333333,0.5006912593110417,0.0012320772770964099,15.180413994531612,29.45047845067126,6.0,0.16666666666666666,0.5008440384376899,0.0006557179518505807,0.01394391564198886,0.017301167965742437,0.003909077230284663
JP0021,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.5,0.4996776408789174,0.0007522629011963795,0.026459056223681145,0.03607804250380753,0.0020129032252315035
JP0022,16.0,0.5,0.49928840529054586,0.00033511220058751,704.7833901387846,407.7165882102334,177.0593867581085,85.0,2.8,0.500042043194608,0.000699010560194299,35.46760994569125,0.08744453913191143,5.0,0.13333333333333333,0.499855130158814,2.497694918797865e-05,0.9563809525126731,0.6499290312645315,1.8393023881664587,74.0,2.433333333333333,0.5007545704994416,0.0008101447167356818,8.833786267568492,7.135629874369478,16.0,0.5,0.4996048814725257,0.0001608735526120753,0.03279547249400631,0.043897996906369974,-0.0005468535615374762
JP0023,16.0,0.5,0.5008566354081556,0.000728840167845562,610.6963619206693,221.7389160773158,179.88699278490012,75.0,2.466666666666667,0.5001526129560255,0.0005161413431378976,66.63199702171858,0.9136136656271449,6.0,0.16666666666666666,0.49965472318737114,0.00019736040132708614,2.6034556179611914,1.2432142919742686,3.615069925354664,77.0,2.533333333333333,0.5002216987227306,0.0004076737026372778,7.252223662608504,1.8328957538274933,11.0,0.3333333333333333,0.5018678659119215,0.000397988198102041,0.022745266063033964,0.025632883851064436,0.0005983655627945682
JP0024,16.0,0.5,0.4996498876717037,0.0008378191501027999,489.7407716022093,274.01698366901775,175.15010954863158,73.0,2.4,0.5005156350061801,0.001391042263151756,367.383243852729,4.147085154741962,5.0,0.13333333333333333,0.5002819494552024,0.0006994519075926148,3.2952429073914606,0.61512040384215,1.8671362758215002,68.0,2.2333333333333334,0.50113243349178,0.001428696957632132,14.475676392808294,21.417634825850715,12.0,0.36666666666666664,0.5002931593162049,0.0003211308630209314,0.00858242376541607,0.016647821282749664,-0.0025084841186141793
JP0025,16.0,0.5,0.49910635484847304,0.00012414196894316613,169.3001786198866,54.406954178804426,179.26441935956987,117.0,3.8666666666666667,0.5001739911405731,0.0006361698816629317,48.10198768059225,2.1673416499945155,5.0,0.13333333333333333,0.4995086887959535,0.00026825419638190905,1.617526026497428,0.4960980304068728,1.4627252207376533,103.0,3.4,0.5004142998167883,0.00046811623569049216,11.92216035314198,10.597980122215853,16.0,0.5,0.4997495827163041,0.0005674748619372275,0.017892536395180555,0.022472767528158744,0.00254284051658258
