AthleteName,take_off_n_frames,take_off_duration_sec,take_off_hip_height_mean,take_off_hip_height_std,take_off_takeoff_knee_velocity_max,take_off_takeoff_knee_velocity_mean,take_off_takeoff_knee_angle_final,early_flight_n_frames,early_flight_duration_sec,early_flight_hip_height_mean,early_flight_hip_height_std,early_flight_early_vstyle_opening_rate,early_flight_early_vstyle_final,mid_flight_n_frames,mid_flight_duration_sec,mid_flight_hip_height_mean,mid_flight_hip_height_std,mid_flight_mid_bsa_mean,mid_flight_mid_bsa_std,mid_flight_mid_bsa_range,late_flight_n_frames,late_flight_duration_sec,late_flight_hip_height_mean,late_flight_hip_height_std,late_flight_late_bsa_std,late_flight_late_bsa_trend,landing_n_frames,landing_duration_sec,landing_hip_height_mean,landing_hip_height_std,landing_landing_scissor_mean,landing_landing_scissor_max,landing_landing_absorption
Andreas Stjernen,,,-0.6740741761982835,-0.7348256500086177,0.05111616778501153,1.4067320173032063,0.006825114139066427,0.16627653642239623,0.16627653642239595,0.029950227977901995,-0.23528317028706672,1.236341774920112,-0.34457634246669017,1.4328380189595102,1.4328380189595107,0.13157172930440855,0.9315851155731247,-0.31280623825805015,-0.2540389497431242,-0.26201716538195297,-0.46041190401325593,-0.46041190401325605,1.0990237475522282,0.3297246381299168,-0.5062800638621932,-0.3628342660281048,1.1625435501641672,1.1625435501641672,-0.057016426093676256,1.258163582808242,-0.5325492380331486,0.016566906669136933,1.1771072631165491
Andrzej Stekala,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4074763897407399,1.4074763897407399,-1.2531037019061892,-0.19080539778486777,0.18838403625693015,0.5910111847261519,-0.02599268607873941
Anze Lanisek,,,-0.3003144180870133,1.5374886581780411,-0.8524315030901792,-1.3114354016495822,-0.5653932755085497,-0.9744227515570187,-0.9744227515570191,0.35662739064514637,1.1482716517039804,-0.7874793202038697,-0.2806048503546101,-0.6045187333132588,-0.6045187333132584,-1.8522849284057943,-0.5730153543172526,-0.15329536779629008,-0.2473132013089528,-0.2562593967580694,1.131520781049528,1.1315207810495282,1.89020706544576,0.9694388645788685,-0.8638503786071683,-0.84007107331469,-1.0418520060249865,-1.041852006024987,1.3499316961407852,0.8487384140109424,0.07226931530467268,-0.29122837353807246,1.7108411056718644
DanielAndre Tande,,,-0.5222631500321716,-0.9191893605765404,0.18632416017488682,0.46636037537374275,0.8141738589262855,0.43243970361759304,0.4324397036175929,-0.7531505273097586,-0.9314164763501068,-0.2037673404394198,-0.3104629405280114,-0.6045187333132588,-0.6045187333132584,-0.19193619374697815,-0.7679131079404172,-0.3333649934149962,-0.24751707285615204,-0.25765218443170684,-0.6008765526952663,-0.6008765526952662,0.25437323960372754,-0.7675559388450965,0.4164635976851214,0.7205402661384969,1.4074763897407399,1.4074763897407399,-0.7813274498314722,-0.8622718152805888,-0.41006854515166413,-0.12579913206921658,-0.17340510409705334
Daniela  IraschkoStolz,,,0.5951134060332895,-0.09415985755057883,-0.5992780519162401,0.409249679524338,-0.022384793070431577,-0.3280264883686836,-0.32802648836868364,2.4290894369850693,3.077998586827436,-0.27217394925230615,-0.30640833948629487,-0.6045187333132588,-0.6045187333132584,0.4051683467287481,-0.7673446771372361,-0.15243159723769775,-0.24023714498882012,-0.2481995782154535,-1.0222704987412974,-1.0222704987412974,-0.5687024555114607,1.1230662802413391,0.25345720143413153,1.0974619868367625,0.18281219185787673,0.18281219185787637,-0.5290986289497992,-0.33760206354563144,0.9981401137343331,1.2047715381170623,-0.09150862979785511
Dawid Kubacki,,,0.5822953886090991,0.10667614061172091,0.5129309115560098,0.687632267025556,1.2148608053646013,-0.17593324997142826,-0.17593324997142834,0.0011366450817905003,-0.8833243606958189,-0.0857574851427924,-0.3296936783686824,-0.2649592746011306,-0.26495927460113033,-0.8718830233024664,-0.3415454219634633,-0.2934265587798276,-0.186850166569285,-0.1795990562967458,0.5228406367608166,0.5228406367608163,-0.9665816601069165,-1.346010717324477,-0.7890226359327805,-0.9195687135497358,0.18281219185787673,0.18281219185787637,0.32759743157536025,-0.6312011037673909,-0.23103757421255602,-0.47422232668643366,-0.18294959626343052
Domen Prevc,,,-0.20021181832598828,-1.0063761499626696,-1.9146197883812512,-1.6397774518486843,-1.3753461880405842,-0.0998866307728006,-0.09988663077280095,0.30984226371644774,-0.854831406074832,-0.7353971233312518,-0.24738048723296088,1.4328380189595102,1.4328380189595107,-0.4676538770046132,-1.0311963572920004,0.210291962341924,-0.1205528818674252,-0.09207549305721985,0.10144669071478549,0.10144669071478551,-1.182774317292392,-0.706264374050984,-0.8923227590532754,-1.181224592374035,-0.7969191664484139,-0.7969191664484141,-0.8999485161053196,-1.0202818538573173,-0.052631081310347314,-0.18604866154622146,-0.11839827409551446
Ema Klinec,,,0.039034218228640255,0.8102856956043976,-0.3650304544648151,0.4454057268581431,0.9784044936370515,-0.29000317876936976,-0.29000317876936993,-1.5923031748855785,-0.36458859150685635,-0.49680161495845326,-0.09751364747439485,1.2630582896034463,1.2630582896034466,-0.14410142818588495,0.08269673420592358,-0.24636116240705028,-0.19992032192694503,-0.19225282837307212,-1.4670752195676635,-1.4670752195676635,-0.296061358526824,-0.4428138382118805,1.0865364624199392,2.6848032178647165,-0.9193855862367002,-0.9193855862367004,0.3573008848171643,-0.4742331884613891,0.7541257708578414,0.19468782166447235,-0.6215348323404893
HalvorEgner Granerud,,,-0.8673545122156796,-0.2771134716916564,-0.889035982032076,0.20964831695282735,-0.8007960461059401,0.20429984602171006,0.20429984602170967,-0.3290040231330148,0.4933003867787995,2.6887157189571544,-0.14415049332737037,-0.4347390039571947,-0.4347390039571944,-0.33914672688294295,0.815966722115976,-0.1837078240917788,-0.21828328163036553,-0.22004275828477057,-0.5306442283542612,-0.5306442283542613,0.039273508491357065,0.5078095046974141,0.6117657720057601,0.8924239161076789,-0.30705348729526855,-0.3070534872952689,-0.6100929171016768,-0.5187806630527766,-1.5277827155043873,-1.3572348941248866,-0.17163934688331925
Jan Hoerl,,,2.5565050775371865,1.9060784263435675,0.5291173812313933,1.1281416801557764,1.2228853003409073,0.12825322682308238,0.12825322682308227,-0.47828239606952566,0.45115234558418355,0.13739958863344165,-0.2964328822227595,-0.944078192025387,-0.9440781920253866,0.7307791632494928,0.2043408337257086,-0.29437947887703275,-0.2145437406099416,-0.2212302410303498,-0.22630415620990535,-0.22630415620990538,1.7611087222547095,0.15948901322293482,0.11520738374280119,0.17717060709675672,-1.5317176851781318,-1.531717685178132,1.6242831714605848,1.1227006592575521,-0.42494660617337193,-0.6062265543356666,-0.6349089978493229
