feature,importance_builtin,importance_perm_mean,importance_perm_std
avg_v_style_front,0.2317091700733804,0.06278042307515554,0.02065459742766135
knee_angle_at_takeoff,0.09471617408360349,0.031162530014106647,0.010891036997267548
landing_hip_velocity,0.13159140025195182,0.024588273597656786,0.01006568359905911
takeoff_knee_angle,0.06917678867455239,0.020338249501012186,0.007594604165047126
avg_v_style_back,0.06776862143577779,0.015377449316344305,0.0066003104990074845
flight_jitter,0.06191359901069899,0.010949064668770658,0.005564806378338539
telemark_stability,0.045924653171436784,0.010720336318484213,0.0045006700635184475
takeoff_peak_velocity,0.06893169363096646,0.010533616480544562,0.0066797179697009055
flight_std,0.03779721833662033,0.008957965407680868,0.004006855974859657
flight_mean_bsa,0.040547860447707015,0.006920545007449241,0.005364178385225492
knee_peak_velocity,0.0494123822276922,0.006497706545077098,0.005436110317623047
telemark_scissor_mean,0.026569129195951245,0.0061190683268930405,0.002152051106949233
avg_body_ski_angle,0.0139909839132496,0.0043095663972310015,0.002374054652098538
takeoff_timing_offset,0.019700783269479886,0.0031270769156509725,0.0016996215351917955
landing_knee_compression,0.024728230655882356,0.003044705543363424,0.0014631717501722317
explosive_efficiency,0.00810394200010206,0.0009758359120881299,0.0007885337684749081
stability_ratio,0.007417369620947146,0.00032640116136308797,0.0004596770258422023
