feature,importance_builtin,importance_perm_mean,importance_perm_std
avg_v_style_back,0.22718871875881022,0.10651317967390805,0.029266934427206775
avg_v_style_front,0.1979357548902569,0.08768951976887371,0.03300428423777803
landing_hip_velocity,0.1007987959458474,0.022193423658178613,0.019158483744892256
knee_angle_at_takeoff,0.0397083453420264,0.018638210602053153,0.00840587346007929
telemark_scissor_mean,0.03165537841503832,0.015459730292323216,0.0027180907944274906
takeoff_peak_velocity,0.041554996445306955,0.014826604415771749,0.005515013244228452
landing_knee_compression,0.07417512506762064,0.013441129705878319,0.006412882073822516
flight_jitter,0.09881260936595382,0.013407354938694748,0.015673000668391196
telemark_stability,0.04133011484063174,0.012890062923205336,0.013536796277564425
takeoff_knee_angle,0.022702290209421373,0.009737543935566329,0.011685156724670676
flight_mean_bsa,0.03617764771032172,0.0033993176492149056,0.002204438418943422
avg_body_ski_angle,0.023059264466893686,0.002932884686478743,0.005711182937557525
knee_peak_velocity,0.015112178473009018,0.0021141052642584257,0.00357416113195744
takeoff_timing_offset,0.009029508749651829,0.0015983587962804635,0.004682870332066857
stability_ratio,0.027092921504371724,0.0014444676799494683,0.005334534459418264
flight_std,0.011402549000537835,0.0010571644109780066,0.003653549451605881
explosive_efficiency,0.0022638008143002395,-5.28758855237843e-05,0.0005556500552674294
