feature,importance_builtin,importance_perm_mean,importance_perm_std
landing_knee_compression,0.1662888559371759,0.07397692638606532,0.011535178411449345
telemark_stability,0.1539973376133414,0.04943935092383792,0.01394245787552131
avg_body_ski_angle,0.12795109255211218,0.03395779096034355,0.01324087251778459
avg_v_style_back,0.09650241061941171,0.029294583283852725,0.017663342822149743
avg_v_style_front,0.08282256275195513,0.02236864830746734,0.01321635744383366
telemark_scissor_mean,0.0612528676030278,0.022229547983219945,0.005194751501355777
takeoff_peak_velocity,0.051219186603504295,0.022111253327469438,0.00859339070030299
stability_ratio,0.04951158987765421,0.012716521025248274,0.008605529568457957
takeoff_knee_angle,0.046165341895040235,0.0076053748301805005,0.004928780108029777
knee_angle_at_takeoff,0.03708446170051837,0.005739664791362476,0.007656982402047839
landing_hip_velocity,0.02284459953054058,0.0056525731170940395,0.0036094865866976417
flight_jitter,0.031113834905750135,0.0054512681786208165,0.003473493226166887
takeoff_timing_offset,0.020734809358415145,0.005116997374456922,0.004373501545349282
knee_peak_velocity,0.02288834986138066,0.004818942623432088,0.004985818980932816
explosive_efficiency,0.014985377183266247,0.0018702565954842542,0.0008218185899085789
flight_mean_bsa,0.008948432499475172,0.0003617049600821209,0.0003705021982807376
flight_std,0.0056888895074308325,-0.000426921880459874,0.0003528772791565446
