jump_id,AthleteScore,Style_Score,Physical_Score,AthleteDistance,AthleteName,HillHS,knee_peak_velocity,knee_angle_at_takeoff,flight_std,flight_mean_bsa,flight_jitter,landing_hip_velocity,landing_knee_compression,avg_body_ski_angle,avg_v_style_front,avg_telemark_leg_angle
JP0001,132.4,49.5,82.9,89.0,Sara Takanashi,94,,,,,,,,,,
JP0002,142.4,55.5,86.9,135.5,Ryoyu Kobayashi,142,,,,,,,,,,
JP0003,144.4,55.0,89.4,140.0,Karl Geiger,140,,,,,,,,,,
JP0004,127.8,55.5,72.3,130.0,Stefan Kraft,140,,,,,,,,,,
JP0005,127.9,53.5,74.4,134.0,Marita Kramer,140,200.1653555210335,158.85935196769307,8.888803990047256,11.513617232927077,0.9408903384187932,0.0032187961839592,40.33914576999224,19.91261737486682,34.733312860776444,18.10800451518747
JP0006,138.5,56.5,82.0,128.0,Jan Hoerl,134,625.0973864426049,161.2351317476966,12.831139844574228,12.311441725990624,1.3543193038644417,0.0101260099750996,11.0504645746978,9.42786944833414,29.144018537468558,7.704183618052838
JP0007,132.8,55.0,77.80000000000001,95.5,Katharina Althaus,98,,,5.645834054044577,6.307336636786372,1.5782531671498314,0.0056991973445524,50.79827488049124,16.112949972680806,30.743445897316622,11.208977258262198
JP0008,141.8,55.5,86.30000000000001,135.0,Anze Lanisek,142,,,8.557250171438572,8.263318484281385,1.216830270844791,0.0067177643465521,3.398608425573485,14.622807339905489,,8.96029887330156
JP0009,120.9,54.0,66.9,97.0,Ema Klinec,97,586.4790447903362,150.85747947273322,21.8827600881255,15.461172008968518,3.506168349527442,0.0071146153800727,19.503993642170173,12.06423018641905,,27.93511419687868
JP0010,112.8,54.0,58.8,122.0,HalvorEgner Granerud,134,,,,,,,,,,
JP0011,136.1,49.0,87.1,146.5,Marita Kramer,140,510.839010928334,164.4734595403132,40.72515103028678,22.367951213266128,5.439958781438158,0.0215064917005926,34.405311783116346,17.228768435419795,,45.87271597531332
JP0012,220.5,58.0,162.5,232.5,Karl Geiger,240,517.0680734652982,143.48652386392138,7.423420030062618,6.70645965544736,0.8061960490161225,0.0008056805427352,0.0,9.216120022676035,53.010046687997786,0.3758671323098576
JP0013,228.3,50.0,178.3,244.5,Ryoyu Kobayashi,240,459.7200807878874,140.43393932065948,,,,,,,,
JP0014,138.7,57.5,81.19999999999999,134.0,Stefan Kraft,137,,,,,,,,,,
JP0015,156.8,55.5,101.30000000000001,130.5,Maren Lundby,137,,,12.307943251466664,10.152415902329585,2.6368239706198264,0.0033761982369154,8.1968408272825,14.45351789221748,35.22804730090027,24.90606738888984
JP0016,130.1,55.5,74.6,102.5,Piotr Zyla,106,463.42767723666736,135.01038034387005,10.86447191280105,11.23586231879692,1.863616724359124,0.0022350971809227,7.25348363559084,16.571921082702012,31.2236815406247,18.04750680199883
JP0017,137.9,54.0,83.9,100.5,Ema Klinec,106,,,10.629751825969365,6.624736558019634,3.0770241818285435,0.0056923554117934,31.022286396047576,12.112201135854246,28.45401388297837,38.89259987722847
JP0018,119.4,53.5,65.9,99.0,Sara Takanashi,97,112.997076988339,175.96101946072528,12.92267005763595,9.516908722792092,1.6590184944906017,0.0073038786953203,65.57039438445076,11.137499393484154,,8.80869790622882
JP0019,147.6,57.0,90.6,133.0,HalvorEgner Granerud,140,,,17.076229830331723,12.176059890384522,1.9812999726452376,0.0041158214485702,17.809066804573263,9.650658607480954,39.0534276965443,51.57646725492772
JP0020,132.1,57.0,75.1,126.5,Robert Johansson,130,,,,,,,,,,
JP0021,135.9,54.5,81.4,152.0,Andrzej Stekala,147,,,,,,0.0060608597906784,48.99767879910058,,,
JP0022,143.0,58.5,84.5,144.0,Kamil Stoch,142,,,9.77744499926636,8.946352677477067,1.2111868192098951,0.0015258705341921,25.335223485390543,7.36576832491208,,
JP0023,144.4,55.5,88.9,144.0,Dawid Kubacki,142,293.92568888112874,166.34356124803355,7.128292156499428,6.479831394952043,3.068269911337292,0.0032322394854376,50.28487234801997,9.394328156363777,,23.419796114073755
JP0024,160.9,54.0,106.9,138.0,HalvorEgner Granerud,140,441.2995044651951,130.84121823905292,11.67891378463442,9.910402317556768,0.9822154280355228,0.009493259380372,12.87478570485746,10.5538133205552,42.87407186621525,10.261089872188458
JP0025,218.0,56.5,161.5,231.5,Karl Geiger,240,136.86265800908785,158.19400790156743,7.515561318213705,7.97511804307629,2.1868009541045974,0.0036457711537066,9.000108276169016,11.69965901231786,49.676193093038734,
JP0026,155.0,50.5,104.5,141.0,Markus Eisenbichler,142,373.8712559711223,127.34809474663204,9.454452042062506,9.609421933168967,1.138414222479042,0.0050233566974047,65.12539915244261,13.195238996732025,29.76110520047457,
JP0027,108.5,53.0,55.5,93.0,Manuela Malsiner,103,,,,,,,,,,
JP0028,133.1,57.0,76.1,132.0,DanielAndre Tande,134,675.8421601492807,123.77186512382704,13.853358611570354,11.131067382493912,1.204281701986656,0.0022264147583645,13.09586257166542,7.697104372745962,,
JP0029,146.2,55.0,91.19999999999999,141.0,Domen Prevc,140,114.40066502972512,167.2934260409452,6.953734583404368,12.389377002027553,1.9281206083621287,0.0015165266207562,0.0,1.0301973588240032,,13.766906129376316
JP0030,223.9,48.0,175.9,246.0,Robert Johansson,240,292.36353108815706,153.95430027011378,5.8044919066643565,4.052569420164968,0.880441805021076,0.0013713501648635,125.11936293820072,9.593460231493689,38.07863567329379,
JP0031,131.1,55.5,75.6,134.0,Peter Prevc,140,,,,,,,,,,
JP0032,121.2,53.5,67.7,92.0,Daniela  IraschkoStolz,97,,,,,,,,,,
