metric,target,n_samples,pearson_r,pearson_p,r_squared,ci_lower_95,ci_upper_95,spearman_rho,spearman_p,significant_p05,abs_r
avg_v_style_front,Physical_Score,17,0.602783144004506,0.0104323646634378,0.3633475186959571,0.1719498337758583,0.8400487939389597,0.5245098039215687,0.0306540160879488,True,0.602783144004506
landing_knee_compression,Style_Score,31,-0.5700061101913367,0.0008153664185978,0.3249069656554583,-0.7690249615208348,-0.2702437075184135,-0.4768801919131862,0.0066792233212233,True,0.5700061101913367
telemark_scissor_mean,Physical_Score,29,-0.3831861620394969,0.0401874091995247,0.1468316347785595,-0.6573747651500045,-0.0193987777085438,-0.3822660098522166,0.0407093708608228,True,0.3831861620394969
flight_mean_bsa,Physical_Score,30,-0.3628901554458704,0.0487301042948713,0.1316892649195279,-0.6395503742943746,-0.0030081935708358,-0.2511679644048943,0.180627012618926,True,0.3628901554458704
