jump_id,knee_peak_velocity,knee_angle_at_takeoff,flight_std,flight_mean_bsa,flight_jitter,landing_hip_velocity,landing_knee_compression
JP0005,200.1653555210335,158.85935196769307,8.888803990047256,11.513617232927077,0.9408903384187932,0.003218796183959219,40.33914576999224
JP0006,625.0973864426049,161.2351317476966,12.831139844574228,12.311441725990624,1.3543193038644417,0.010126009975099624,11.050464574697799
JP0007,,,5.645834054044577,6.3073366367863715,1.5782531671498314,0.005699197344552452,50.798274880491235
JP0008,,,8.557250171438572,8.263318484281385,1.216830270844791,0.006717764346552135,3.398608425573485
JP0009,586.4790447903362,150.85747947273322,21.8827600881255,15.461172008968518,3.506168349527442,0.007114615380072742,19.503993642170173
JP0010,,,,,,,
JP0011,510.839010928334,164.4734595403132,40.72515103028678,22.367951213266128,5.439958781438158,0.021506491700592628,34.405311783116346
JP0012,517.0680734652982,143.48652386392138,7.423420030062618,6.70645965544736,0.8061960490161225,0.0008056805427352973,0.0
JP0013,459.72008078788747,140.43393932065948,,,,,
JP0015,,,12.307943251466664,10.152415902329583,2.6368239706198264,0.0033761982369154633,8.1968408272825
JP0016,463.42767723666736,135.01038034387005,10.86447191280105,11.235862318796919,1.8636167243591237,0.0022350971809227335,7.25348363559084
JP0017,,,10.629751825969365,6.624736558019634,3.0770241818285435,0.005692355411793457,31.022286396047576
JP0018,112.99707698833899,175.96101946072528,12.92267005763595,9.516908722792092,1.6590184944906015,0.007303878695320391,65.57039438445076
JP0019,,,17.076229830331723,12.176059890384522,1.9812999726452376,0.004115821448570228,17.809066804573263
JP0021,,,,,,0.006060859790678469,48.99767879910058
JP0022,,,9.77744499926636,8.946352677477067,1.2111868192098951,0.0015258705341921266,25.335223485390543
JP0023,293.92568888112874,166.34356124803355,7.128292156499428,6.479831394952043,3.068269911337292,0.003232239485437688,50.28487234801997
JP0024,441.2995044651951,130.84121823905292,11.678913784634421,9.910402317556768,0.9822154280355228,0.009493259380372009,12.874785704857459
JP0025,136.86265800908785,158.19400790156743,7.515561318213705,7.97511804307629,2.1868009541045974,0.003645771153706623,9.000108276169016
JP0026,373.8712559711223,127.34809474663204,9.454452042062506,9.609421933168969,1.1384142224790421,0.005023356697404779,65.12539915244261
JP0028,675.8421601492807,123.77186512382704,13.853358611570354,11.131067382493912,1.204281701986656,0.002226414758364527,13.095862571665421
JP0029,114.40066502972513,167.2934260409452,6.953734583404368,12.389377002027551,1.9281206083621287,0.0015165266207562214,0.0
JP0030,292.36353108815706,153.95430027011378,5.8044919066643565,4.052569420164968,0.880441805021076,0.0013713501648635398,125.11936293820071
