jump_id,avg_v_style_front,avg_v_style_back,takeoff_knee_angle,avg_body_ski_angle,avg_symmetry_index_back,takeoff_timing_offset,takeoff_peak_velocity,telemark_scissor_mean,telemark_stability,landing_absorption_rate
JP0005,36.60366286544017,,165.69284548315335,20.036881597684918,,-10.0,292.1937977791147,0.6206108414205981,5.545738095592977,-0.0018811041011427762
JP0006,29.041391377041673,,168.12620983834094,9.30101837369083,,-4.0,565.8197395633654,0.22972040152991266,25.287855424011706,-0.007310777241744497
JP0007,30.814518228728737,,148.27029749491763,15.996120773732116,,,,0.16386069657225955,14.325714762128982,0.0027663900502508665
JP0008,,,173.60187509769668,14.622807339905496,,,,0.3926612152090814,8.16003746923232,0.007105593369379326
JP0009,,55.77091802767402,155.48073142653806,11.98811502164512,9.104593239742854,-1.0,662.8911258195918,0.679794773998498,6.145798673761899,0.0052085900706163105
JP0010,41.6471863866115,,140.42759054036122,7.264380236775674,,-1.0,568.4876592244797,0.2882047551572054,10.49554844668137,0.002213250440800049
JP0011,,,157.7705273715021,17.139745400616313,,-2.0,,,,
JP0012,53.022289652198985,,131.22933916079074,11.154996112543259,,0.0,517.068073465298,0.2403983625596927,35.197617672141924,0.000702463693007839
JP0013,45.18031671756019,,146.61214259220628,,,1.0,460.2332314479189,,,
JP0015,35.19427740997173,,145.67663199183008,14.453517892217485,,,,0.47533452566770396,31.81137571696606,0.004433273792964869
JP0016,31.23345469025221,,127.94151101923188,16.483042438839306,,0.0,621.6074052634173,0.40002510093711685,37.39949880772812,-0.0013168039405398596
JP0017,28.803149702922536,,162.72015182068287,12.141494348383986,,,,0.37807721981336295,31.108035387232032,-0.0006672813465348135
JP0018,,,174.1630493088797,21.926334747148047,,-10.0,115.56890309000806,0.36547408398213876,8.759442548211434,-0.00019655323229339494
JP0019,38.96394139558821,,171.43528844935474,9.596709467664212,,,,0.18878546893230824,22.134114298870244,0.001198593127067632
JP0021,,51.65389107350482,,,6.559203455988772,,,0.414984794316273,8.888521796752983,0.00015396746077880885
JP0022,,,120.30513410346366,7.365768324912068,,,,0.3611253311841687,12.505333559085948,-8.916262165321875e-05
JP0023,,,170.60334699314927,10.247284272260103,,-7.0,494.7622646787614,0.43266476785145175,20.934546204254406,0.0009359904859880877
JP0024,43.14046333281343,,130.19048149204775,10.6661898608287,,1.0,480.16757065231263,,,
JP0025,49.57203562830342,,160.50284701459657,11.729329320673042,,0.0,151.73264013988472,0.18715740192102825,26.96046725104386,0.0030235265075497994
JP0026,30.223600010044663,,128.48445893204166,13.085150248494557,,0.0,439.7871673355482,0.6204558231552949,6.9525650657642455,-0.002745654137831545
JP0028,,,126.6999554955483,7.774642384407957,,0.0,600.559903340707,0.23272747137772543,13.935737578426231,-0.0007876671124363438
JP0029,,,,1.1102010823789576,,3.0,67.32744784191311,0.2594834280428106,148.50607096442423,-0.0010864659189158132
JP0030,37.99390172540635,,150.88086869256568,9.369023320805205,,0.0,438.4823404119709,0.1728150723289329,31.735966874068573,0.0002406168123073038
JP0031,,28.14999893770989,132.34432592838382,7.329281876572184,10.824463347399053,1.0,568.447306715482,0.27816102315326835,11.365684147450796,-0.0005009216516095594
JP0032,,,162.02143126470833,11.7923225421045,,-3.0,350.8998489537863,0.4126875162622766,9.020935735081226,-0.00164825299226172
JP0033,42.39942994778901,,141.90302005535716,13.986806927976431,,2.0,290.2429847478869,0.22677107387174603,20.421892591998173,0.0007939404011511955
JP0034,39.02457277095177,,129.8419023791751,11.023041020295329,,1.0,439.6314457051004,0.25191082979130974,10.895380814034887,0.008130225634384834
JP0035,,,,4.67082342560218,,2.0,429.90325841050435,0.27463799508802417,33.358057931409405,-0.007486441361980907
JP0036,,,,16.714793490622395,,6.0,104.56892943607045,0.7474365376172729,6.378340748605839,0.0033692259415496126
JP0037,,50.73829796568212,,15.321373992773985,8.367475932083082,4.0,142.40493795082358,0.4960151298801315,13.401632887118952,0.007894292448874761
JP0038,,,124.69051551421077,13.201712436951945,,1.0,635.187074555625,0.3377532760574526,16.001119176646142,0.0037992166921254136
JP0039,45.69818036928609,,,16.63981140728174,,,,0.2937950210074198,20.504551875954895,0.009564739051475674
