AthleteName,take_off_n_frames,take_off_duration_sec,take_off_hip_height_mean,take_off_hip_height_std,take_off_takeoff_knee_velocity_max,take_off_takeoff_knee_velocity_mean,take_off_takeoff_knee_angle_final,early_flight_n_frames,early_flight_duration_sec,early_flight_hip_height_mean,early_flight_hip_height_std,early_flight_early_vstyle_opening_rate,early_flight_early_vstyle_final,mid_flight_n_frames,mid_flight_duration_sec,mid_flight_hip_height_mean,mid_flight_hip_height_std,mid_flight_mid_bsa_mean,mid_flight_mid_bsa_std,mid_flight_mid_bsa_range,late_flight_n_frames,late_flight_duration_sec,late_flight_hip_height_mean,late_flight_hip_height_std,late_flight_late_bsa_std,late_flight_late_bsa_trend,landing_n_frames,landing_duration_sec,landing_hip_height_mean,landing_hip_height_std,landing_landing_scissor_mean,landing_landing_scissor_max,landing_landing_absorption
Andrzej Stekala,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3685043085453992,1.3685043085453996,-1.375209194028001,1.3916351876792838,-0.3578815517682537,-0.3297958500980019,0.49090601956079916
Anze Lanisek,,,-0.17055540512224404,2.0281293980832955,-0.7169638256164867,-1.1287839810081943,-0.5659303527484193,-0.8150958478690626,-0.8150958478690625,0.8154347436746072,2.443703074296475,-0.9050247715651438,-0.4051945819198823,-0.6510122674891266,-0.6510122674891264,-1.9266724744104533,-0.24087833387878332,0.31315951392036895,-0.8496098595339123,-0.8316776575244929,0.9138756029917607,0.9138756029917617,1.461451956528686,1.7311149793470604,-0.8153009737242977,-0.7382156629143364,-0.8366685109116424,-0.8366685109116425,1.1807586551274452,0.9167451571221998,0.02476205501707794,-0.19562069015220704,-1.688932382744992
DanielAndre Tande,,,-0.4424863116712917,-0.2766743895517995,2.3774016887452665,0.47025338328522426,0.7077009219442173,0.4447912068006112,0.4447912068006113,-0.4322282207692726,-0.8432744911561976,0.9550148864439022,-0.5576644880426022,-0.6510122674891266,-0.6510122674891264,0.06290402799330491,-0.5351721243998433,-0.8573097600569347,-0.8552093489554086,-0.8613456129718873,-0.7507839569193849,-0.7507839569193844,0.7814505393585197,-0.6691633183576863,0.4484690019390851,0.6705242799581506,1.3685043085453992,1.3685043085453996,-0.3335449589963984,-0.6920339159307848,-0.24668466864460983,0.13820101690022496,0.14938510812679234
Dawid Kubacki,,,0.6583319525982096,0.3052820767998878,0.29561232426123546,0.6692762558740083,1.077619437403846,-0.10002481684032884,-0.10002481684032859,0.6179955506997403,-0.9596285625880644,0.7018736688545809,0.11023750035227176,-0.3094976353636831,-0.30949763536368313,-0.2813556932528632,-1.1461322929982067,-0.2693221815089343,-0.6614835243597709,-0.6578304912298893,0.3289952170770339,0.3289952170770344,-0.6167623023151166,-1.0275710510810294,-0.9392536770819111,-0.8854804411718187,0.2659178988168784,0.2659178988168784,1.0539471334298522,-0.39454963536445287,-0.046259500180910365,-0.3251067907136705,-0.4491109699756712
Domen Prevc,,,0.027122391266355968,-0.6221619822225697,-1.5047008490088658,-1.3718448638417864,0.09416199208530246,-0.03192281388521133,-0.03192281388521133,0.689420889322716,-0.622266876583444,-0.7682971009434735,-0.23553485161811846,1.398075525263534,1.398075525263534,-0.26748525255703454,-0.9327273757661143,2.6765108946543585,2.631960165951854,2.665625508187091,-0.0759219731716232,-0.0759219731716225,-0.8647332047400063,0.34349895363987426,-1.0321025640369699,-1.0295114976500146,-0.6161512289659383,-0.6161512289659382,-0.5107977041546046,-1.3208294308899533,0.07767892113703385,0.08261797146713626,0.27930277318490526
Ema Klinec,,,0.1481378524959191,1.1525012771954808,-0.35549886073290665,0.4514057370228499,0.8593204172259372,-0.2021778212730051,-0.20217782127300493,-1.3934734868713197,0.024256779515756992,-0.27294431511678086,0.5297580005433727,1.2273182092008124,1.2273182092008121,0.12022386904338415,0.7492408051805519,-0.29177678600195117,0.45207215740019674,0.531734767161467,-1.583113736874958,-1.5831137368749575,0.02067610448433918,0.21017811155946445,1.276080471445037,2.61417760607655,-0.7264098699387903,-0.7264098699387903,1.1845344318409228,-0.1659869683589879,0.8512441655472199,0.6002386377950896,0.718029070604275
HalvorEgner Granerud,,,-0.703081060035679,-0.15684059641933293,-0.7441103340876475,0.2393538735749078,-0.7832567323776095,0.2404851979352587,0.24048519793525863,0.4294724493420629,1.6680938424400344,-0.6433600866482412,0.34466726618659427,-0.4802549514264048,-0.4802549514264048,-0.03780160404005289,1.225012878037006,0.14629813555063428,-0.1396711746015468,-0.06022222535934377,-0.6832977585446088,-0.6832977585446084,-0.08223950700209103,-0.826755102118469,0.656734126263967,0.8307016876704486,-0.17511666507452994,-0.17511666507452991,-0.25185429388897496,0.019855852100954797,-1.284724933154747,-1.0706725370702301,-0.9370642782963884
Jan Hoerl,,,1.801837353394156,-0.19149330421017227,0.307616487381729,1.0619471351850485,1.0450203449247255,0.17238319498014118,0.17238319498014137,-0.47102726592922495,-0.1781218435184607,1.2181396805339995,-0.4860201979934118,-0.99252689961457,-0.9925268996145699,1.1685830665987178,0.9329222611064947,-0.6039002983551308,0.05042867479337459,-0.08551695323296749,-0.3908575655872454,-0.39085756558724477,2.1606945680278993,0.16652484079906651,0.38418676176937155,0.2990126276130719,-1.2777030748030507,-1.277703074803051,0.4300984699922401,-0.3335198474647737,-0.18340577780552775,-0.1897287594841031,1.4278595478700624
Kamil Stoch,,,-1.1929779263013718,-0.6038775516378614,0.6334383902063594,2.60769912351962,0.4124165078279843,0.2404851979352587,0.24048519793525863,0.1657625858019333,-0.1672999006927332,-0.7760357819264326,-0.8767598277440662,-0.6510122674891266,-0.6510122674891264,-0.4052696018207889,-1.0502445376484706,-1.0289744252525133,-0.21900539172360514,-0.23508160432158723,0.1940228203274815,0.19402282032748192,0.30318907280412255,0.21390761562441166,-0.47248718502012277,-0.4374009101494012,1.3685043085453992,1.3685043085453996,-1.3055282345166817,-1.2069189191746417,0.296911901385278,0.6500666427268048,-0.008437142527422253
Karl Geiger,,,-0.9234588281969051,-0.8000737571285061,-0.22904863087485408,-0.2504667944406281,-0.28381765553128285,1.2620152422620212,1.2620152422620212,0.8402789802239883,-0.28773125058974997,2.4231889076883597,-0.3854941152951664,-0.4802549514264048,-0.4802549514264048,0.6669301210609708,1.137630619111696,-0.49612451237208577,-0.6704525886339064,-0.6722109104680272,1.386278991615194,1.3862789916151945,0.19042021931659678,-0.23547595470473606,0.016590318192630453,-0.15665473546594058,0.3761765397897305,0.3761765397897305,-0.9058688565340718,-0.11008397562113284,-0.7497702579469431,-0.4631929219857782,0.34724627363212635
