jump_id,cluster
JP0005,1
JP0006,1
JP0007,1
JP0008,1
JP0009,1
JP0011,2
JP0012,1
JP0015,1
JP0016,1
JP0017,1
JP0018,1
JP0019,1
JP0022,1
JP0023,1
JP0024,1
JP0025,1
JP0026,1
JP0028,1
JP0029,1
JP0030,1
JP0031,1
JP0032,1
JP0033,1
JP0034,1
JP0035,1
JP0036,3
JP0037,1
JP0038,1
JP0039,1
