jump_id,cluster
JP0005,2
JP0006,2
JP0007,2
JP0008,2
JP0009,2
JP0011,3
JP0012,2
JP0015,2
JP0016,2
JP0017,2
JP0018,1
JP0019,2
JP0022,2
JP0023,2
JP0024,2
JP0025,2
JP0026,2
JP0028,2
JP0029,2
JP0030,2
JP0031,2
JP0032,2
JP0033,2
JP0034,2
JP0035,2
JP0036,1
JP0037,2
JP0038,2
JP0039,2
