jump_id,avg_v_style_front,avg_v_style_back,takeoff_knee_angle,avg_body_ski_angle,avg_symmetry_index_back,avg_telemark_offset_x,avg_telemark_proj_ski,avg_telemark_leg_angle,flight_stability_std
JP0005,34.73331286077644,,165.69284548315335,160.0873826251332,,0.061224369479689233,0.06536269816531765,18.108004515187435,1.0606307913645927
JP0006,29.144018537468554,,164.15810334907115,170.57213055166588,,0.015481199835526557,0.014934771744170211,7.704183618052871,0.6923040068588743
JP0007,30.74344589731662,,,163.8870500273192,,0.007620463666612465,0.0058394268008559016,11.208977258262276,1.4940076144105934
JP0008,,,,165.37719266009452,,0.006860169892300057,0.006152332009259004,8.96029887330156,0.3645349207646523
JP0009,,56.307889737808,,167.93576981358095,22.08340148385893,0.05241818111187322,0.06336932626566145,27.935114196878686,1.226039353401779
JP0011,,65.36221790124354,,162.7712315645802,4.976481141324157,0.10940276679581523,0.011362351207512458,45.87271597531332,2.866794938719629
JP0012,53.01004668799778,,145.90429469265746,170.78387997732398,,0.04791658358213052,0.030397979993394757,0.3758671323098576,0.44737685959524304
JP0013,,45.09677698073495,146.61214259220628,,1.6325816561604667,,,,0.6455428646431547
JP0015,35.228047300900265,,,165.54648210778254,,0.061889292767860114,0.07249284260851742,24.90606738888983,1.3813896371226615
JP0016,31.2236815406247,,,163.428078917298,,0.0012119899168533677,0.001455979882169182,18.047506801998843,0.5116732113510334
JP0017,28.45401388297837,,,167.88779886414574,,0.07104785884861128,0.07169825986438513,38.89259987722847,1.0411363146062262
JP0018,,,174.1630493088797,168.86250060651582,,0.04827999134709856,0.04989286873600715,8.80869790622882,0.240420649016588
JP0019,39.05342769654429,,,170.34934139251905,,0.01219649579102608,0.010500073008899557,51.57646725492772,0.9365778636857643
JP0021,,53.15485616967819,,,10.879221097855856,,,,4.670257039477036
JP0022,,,,172.63423167508796,,,,,0.47293407910393276
JP0023,,75.39215458478914,170.60334699314927,170.60567184363623,6.273215886154255,0.0691944049231338,0.06709854271825189,23.419796114073755,1.454450867835917
JP0024,42.87407186621526,,130.19048149204775,166.51411861439502,,0.07574729712670221,0.009970482326832739,10.261089872188462,3.715786536774312
JP0025,49.676193093038734,,,168.30034098768212,,,,,0.4253210567053509
JP0026,29.761105200474574,,,166.80476100326797,,,,,0.9812958823849101
JP0028,,,,172.30289562725403,,,,,0.45238941800646665
JP0029,,,167.5402946657505,178.96980264117602,,0.019874645436257422,0.018642166801169962,12.410263498764179,0.5510055965265396
JP0031,,27.783558778641904,,172.1808458498032,4.106352666114461,0.06747321864186388,0.06720118212317826,35.93723572985179,0.9742546285896068
JP0032,,77.15293474729238,,168.2076774578955,5.858506342035147,0.006058115751337991,0.00873591573324237,11.768151498001911,0.9144165759594236
