jump_id,frame_idx,view_detected,telemark_flag,takeoff_knee_angle,v_style_angle_front,v_style_angle_back,body_ski_angle,symmetry_index_back,telemark_offset_x_raw,telemark_proj_ski_raw,telemark_leg_angle,is_flight_phase,is_landing_phase
JP0005,324,SIDE,l,165.69284548315335,,,,,,,,0,0
JP0005,324,SIDE,l,165.69284548315335,,,,,,,,0,0
JP0005,340,FRONT,l,,34.10511974307478,,,,,,,1,0
JP0005,340,FRONT,l,,34.10511974307478,,,,,,,1,0
JP0005,342,FRONT,l,,37.57861731530574,,,,,,,1,0
JP0005,342,FRONT,l,,37.57861731530574,,,,,,,1,0
JP0005,343,FRONT,l,,37.0903272713951,,,,,,,1,0
JP0005,343,FRONT,l,,37.0903272713951,,,,,,,1,0
JP0005,344,FRONT,l,,36.594947302810866,,,,,,,1,0
JP0005,344,FRONT,l,,36.594947302810866,,,,,,,1,0
JP0005,345,FRONT,l,,36.09304317445938,,,,,,,1,0
JP0005,345,FRONT,l,,36.09304317445938,,,,,,,1,0
JP0005,346,FRONT,l,,35.584986773061004,,,,,,,1,0
JP0005,346,FRONT,l,,35.584986773061004,,,,,,,1,0
JP0005,347,FRONT,l,,35.062803629752466,,,,,,,1,0
JP0005,347,FRONT,l,,35.062803629752466,,,,,,,1,0
JP0005,348,FRONT,l,,34.54750239516564,,,,,,,1,0
JP0005,348,FRONT,l,,34.54750239516564,,,,,,,1,0
JP0005,349,FRONT,l,,33.99215880578472,,,,,,,1,0
JP0005,349,FRONT,l,,33.99215880578472,,,,,,,1,0
JP0005,350,FRONT,l,,33.4140648255502,,,,,,,1,0
JP0005,350,FRONT,l,,33.4140648255502,,,,,,,1,0
JP0005,352,FRONT,l,,32.74151120131306,,,,,,,1,0
JP0005,352,FRONT,l,,32.74151120131306,,,,,,,1,0
JP0005,353,FRONT,l,,33.13782823089785,,,,,,,1,0
JP0005,353,FRONT,l,,33.13782823089785,,,,,,,1,0
JP0005,354,FRONT,l,,33.171314190446296,,,,,,,1,0
JP0005,354,FRONT,l,,33.171314190446296,,,,,,,1,0
JP0005,355,FRONT,l,,33.152155191853055,,,,,,,1,0
JP0005,355,FRONT,l,,33.152155191853055,,,,,,,1,0
JP0005,397,SIDE,l,,,,159.27101357488004,,,,,1,0
JP0005,397,SIDE,l,,,,159.27101357488004,,,,,1,0
JP0005,398,SIDE,l,,,,159.46069584707828,,,,,1,0
